"Step","timechat - recall","timechat - recall__MIN","timechat - recall__MAX"
"14","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"31","0.29411764705882354","0.29411764705882354","0.29411764705882354"
"54","1","1","1"
"72","1","1","1"
"84","1","1","1"
"103","0.9473684210526315","0.9473684210526315","0.9473684210526315"
"118","0.8666666666666667","0.8666666666666667","0.8666666666666667"
"149","0.5882352941176471","0.5882352941176471","0.5882352941176471"
"188","1","1","1"
"199","0.5454545454545454","0.5454545454545454","0.5454545454545454"
"222","1","1","1"
"240","0.2222222222222222","0.2222222222222222","0.2222222222222222"
"249","0.2222222222222222","0.2222222222222222","0.2222222222222222"
"269","0.55","0.55","0.55"
"287","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"298","0.5454545454545454","0.5454545454545454","0.5454545454545454"
"314","1","1","1"
"325","0.6363636363636364","0.6363636363636364","0.6363636363636364"
"332","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"357","0.24","0.24","0.24"
"377","0.7","0.7","0.7"
"390","0.38461538461538464","0.38461538461538464","0.38461538461538464"
"409","0.15789473684210525","0.15789473684210525","0.15789473684210525"
"434","0.56","0.56","0.56"
"453","0.42105263157894735","0.42105263157894735","0.42105263157894735"
"466","1","1","1"
"478","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"495","1","1","1"
"509","0.9285714285714286","0.9285714285714286","0.9285714285714286"
"528","0.9473684210526315","0.9473684210526315","0.9473684210526315"
"553","1","1","1"
"560","0.42857142857142855","0.42857142857142855","0.42857142857142855"
"571","1","1","1"
"582","0.09090909090909091","0.09090909090909091","0.09090909090909091"
"597","1","1","1"
"617","1","1","1"
"624","0","0","0"
"631","0.8571428571428571","0.8571428571428571","0.8571428571428571"
"651","1","1","1"
"666","0.06666666666666667","0.06666666666666667","0.06666666666666667"
"678","0.9166666666666666","0.9166666666666666","0.9166666666666666"
"689","0.8181818181818182","0.8181818181818182","0.8181818181818182"
"708","1","1","1"
"727","0.9473684210526315","0.9473684210526315","0.9473684210526315"
"734","0","0","0"
"749","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"758","0.1111111111111111","0.1111111111111111","0.1111111111111111"
"769","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"795","0.6363636363636364","0.6363636363636364","0.6363636363636364"
"806","0.2727272727272727","0.2727272727272727","0.2727272727272727"
"817","1","1","1"
"828","0.5454545454545454","0.5454545454545454","0.5454545454545454"
"839","1","1","1"
"857","1","1","1"
"868","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"877","1","1","1"
"900","0.13043478260869565","0.13043478260869565","0.13043478260869565"
"923","1","1","1"
"930","0.8571428571428571","0.8571428571428571","0.8571428571428571"
"946","1","1","1"
"965","0.10526315789473684","0.10526315789473684","0.10526315789473684"
"980","0.8666666666666667","0.8666666666666667","0.8666666666666667"
"992","0.08333333333333333","0.08333333333333333","0.08333333333333333"
"1007","0.26666666666666666","0.26666666666666666","0.26666666666666666"
"1026","1","1","1"
"1049","0.043478260869565216","0.043478260869565216","0.043478260869565216"
"1060","1","1","1"
"1083","0.9130434782608695","0.9130434782608695","0.9130434782608695"
"1117","0.8421052631578947","0.8421052631578947","0.8421052631578947"
"1132","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"1143","0.5454545454545454","0.5454545454545454","0.5454545454545454"
"1152","0.5555555555555556","0.5555555555555556","0.5555555555555556"
"1167","0.9333333333333333","0.9333333333333333","0.9333333333333333"
"1181","1","1","1"
"1192","1","1","1"
"1208","1","1","1"
"1219","1","1","1"
"1230","1","1","1"
"1244","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"1255","1","1","1"
"1266","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"1281","1","1","1"
"1298","0.29411764705882354","0.29411764705882354","0.29411764705882354"
"1307","0.2222222222222222","0.2222222222222222","0.2222222222222222"
"1322","1","1","1"
"1350","0.25","0.25","0.25"
"1361","0.2727272727272727","0.2727272727272727","0.2727272727272727"
"1372","0.6363636363636364","0.6363636363636364","0.6363636363636364"
"1381","1","1","1"
"1395","0.8571428571428571","0.8571428571428571","0.8571428571428571"
"1414","0.3157894736842105","0.3157894736842105","0.3157894736842105"
"1431","1","1","1"
"1442","1","1","1"
"1488","0.8947368421052632","0.8947368421052632","0.8947368421052632"
"1507","0.3157894736842105","0.3157894736842105","0.3157894736842105"
"1514","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"1539","1","1","1"
"1550","1","1","1"
"1564","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"1580","1","1","1"
"1593","0.5384615384615384","0.5384615384615384","0.5384615384615384"
"1607","1","1","1"
"1641","0.8947368421052632","0.8947368421052632","0.8947368421052632"
"1653","0.25","0.25","0.25"
"1668","0.2","0.2","0.2"
"1683","0.9333333333333333","0.9333333333333333","0.9333333333333333"
"1695","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"1704","1","1","1"
"1715","1","1","1"
"1734","0.21052631578947367","0.21052631578947367","0.21052631578947367"
"1753","1","1","1"
"1765","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"1776","0.2727272727272727","0.2727272727272727","0.2727272727272727"
"1787","0.18181818181818182","0.18181818181818182","0.18181818181818182"
"1798","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"1812","0.6428571428571429","0.6428571428571429","0.6428571428571429"
"1821","1","1","1"
"1832","1","1","1"
"1850","0.1111111111111111","0.1111111111111111","0.1111111111111111"
"1867","1","1","1"
"1883","0.9375","0.9375","0.9375"
"1890","1","1","1"
"1901","0.09090909090909091","0.09090909090909091","0.09090909090909091"
"1914","0.15384615384615385","0.15384615384615385","0.15384615384615385"
"1928","0.8571428571428571","0.8571428571428571","0.8571428571428571"
"1948","0.45","0.45","0.45"
"1968","0.3","0.3","0.3"
"1987","0.2631578947368421","0.2631578947368421","0.2631578947368421"
"1996","0.5555555555555556","0.5555555555555556","0.5555555555555556"
"2015","1","1","1"
"2038","0.08695652173913043","0.08695652173913043","0.08695652173913043"
"2061","0.9130434782608695","0.9130434782608695","0.9130434782608695"
"2079","0.2222222222222222","0.2222222222222222","0.2222222222222222"
"2092","0.3076923076923077","0.3076923076923077","0.3076923076923077"
"2104","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"2119","1","1","1"
"2131","0.4166666666666667","0.4166666666666667","0.4166666666666667"
"2148","1","1","1"
"2165","1","1","1"
"2181","0.375","0.375","0.375"
"2200","1","1","1"
"2219","1","1","1"
"2231","0.25","0.25","0.25"
"2242","0.45454545454545453","0.45454545454545453","0.45454545454545453"
"2258","1","1","1"
"2270","1","1","1"
"2281","0.36363636363636365","0.36363636363636365","0.36363636363636365"
"2294","0.23076923076923078","0.23076923076923078","0.23076923076923078"
"2306","1","1","1"
"2320","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"2339","0.10526315789473684","0.10526315789473684","0.10526315789473684"
"2359","1","1","1"
"2373","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"2387","0.9285714285714286","0.9285714285714286","0.9285714285714286"
"2394","0","0","0"
"2413","1","1","1"
"2428","0.2","0.2","0.2"
"2439","0","0","0"
"2453","0.14285714285714285","0.14285714285714285","0.14285714285714285"
"2468","0.5333333333333333","0.5333333333333333","0.5333333333333333"
"2482","1","1","1"
"2495","1","1","1"
"2506","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"2529","0","0","0"
"2536","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"2547","0.09090909090909091","0.09090909090909091","0.09090909090909091"
"2559","1","1","1"
"2575","0.875","0.875","0.875"
"2590","1","1","1"
"2615","0.12","0.12","0.12"
"2629","0","0","0"
"2640","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"2649","1","1","1"
"2679","0","0","0"
"2698","1","1","1"
"2716","1","1","1"
"2727","1","1","1"
"2752","0.52","0.52","0.52"
"2763","1","1","1"
"2770","0","0","0"
"2786","0.375","0.375","0.375"
"2797","1","1","1"
"2808","0.18181818181818182","0.18181818181818182","0.18181818181818182"
"2827","0.3157894736842105","0.3157894736842105","0.3157894736842105"
"2852","1","1","1"
"2863","0.5454545454545454","0.5454545454545454","0.5454545454545454"
"2874","1","1","1"
"2885","0.5454545454545454","0.5454545454545454","0.5454545454545454"
"2900","1","1","1"
"2912","1","1","1"
"2924","0.9166666666666666","0.9166666666666666","0.9166666666666666"
"2943","1","1","1"
"2963","0.9","0.9","0.9"
"2973","0.2","0.2","0.2"
"2985","0.18181818181818182","0.18181818181818182","0.18181818181818182"
"3003","0.05555555555555555","0.05555555555555555","0.05555555555555555"
"3012","1","1","1"
"3037","1","1","1"
"3048","1","1","1"
"3060","1","1","1"
"3071","0.6363636363636364","0.6363636363636364","0.6363636363636364"
"3094","1","1","1"
"3110","0.25","0.25","0.25"
"3121","1","1","1"
"3146","1","1","1"
"3169","0.08695652173913043","0.08695652173913043","0.08695652173913043"
"3180","0.18181818181818182","0.18181818181818182","0.18181818181818182"
"3196","1","1","1"
"3210","1","1","1"
"3235","0.96","0.96","0.96"
"3260","1","1","1"
"3274","1","1","1"
"3286","1","1","1"
"3297","1","1","1"
"3314","0.9411764705882353","0.9411764705882353","0.9411764705882353"
"3327","0.8461538461538461","0.8461538461538461","0.8461538461538461"
"3343","1","1","1"
"3355","0.25","0.25","0.25"
"3374","1","1","1"
"3385","1","1","1"
"3408","0.8695652173913043","0.8695652173913043","0.8695652173913043"
"3423","1","1","1"
"3439","0.9375","0.9375","0.9375"
"3448","1","1","1"
"3457","1","1","1"
"3477","0.95","0.95","0.95"
"3488","1","1","1"
"3500","0.5833333333333334","0.5833333333333334","0.5833333333333334"
"3514","1","1","1"
"3527","0.9230769230769231","0.9230769230769231","0.9230769230769231"
"3538","0.18181818181818182","0.18181818181818182","0.18181818181818182"
"3547","1","1","1"
"3563","1","1","1"
"3582","0.15789473684210525","0.15789473684210525","0.15789473684210525"
"3601","0.21052631578947367","0.21052631578947367","0.21052631578947367"
"3620","0.2631578947368421","0.2631578947368421","0.2631578947368421"
"3632","1","1","1"
"3649","0.058823529411764705","0.058823529411764705","0.058823529411764705"
"3666","0.4117647058823529","0.4117647058823529","0.4117647058823529"
"3677","1","1","1"
"3691","0.5714285714285714","0.5714285714285714","0.5714285714285714"
"3707","0.3125","0.3125","0.3125"
"3718","0.6363636363636364","0.6363636363636364","0.6363636363636364"
"3729","0.45454545454545453","0.45454545454545453","0.45454545454545453"
"3748","0.5263157894736842","0.5263157894736842","0.5263157894736842"
"3765","1","1","1"
"3783","1","1","1"
"3794","1","1","1"
"3805","0.36363636363636365","0.36363636363636365","0.36363636363636365"
"3817","0.25","0.25","0.25"
"3830","1","1","1"
"3849","0.9473684210526315","0.9473684210526315","0.9473684210526315"
"3868","0.3684210526315789","0.3684210526315789","0.3684210526315789"
"3879","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"3890","1","1","1"
"3908","1","1","1"
"3928","0.5","0.5","0.5"
"3953","1","1","1"
"3964","0.2727272727272727","0.2727272727272727","0.2727272727272727"
"3976","1","1","1"
"3988","0.4166666666666667","0.4166666666666667","0.4166666666666667"
"4013","1","1","1"
"4028","1","1","1"
"4043","1","1","1"
"4056","0.7692307692307693","0.7692307692307693","0.7692307692307693"
"4068","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"4087","0.3684210526315789","0.3684210526315789","0.3684210526315789"
"4101","0.9285714285714286","0.9285714285714286","0.9285714285714286"
"4116","0.13333333333333333","0.13333333333333333","0.13333333333333333"
"4136","0.3","0.3","0.3"
"4147","1","1","1"
"4162","1","1","1"
"4178","1","1","1"
"4203","1","1","1"
"4220","0.23529411764705882","0.23529411764705882","0.23529411764705882"
"4231","0.2727272727272727","0.2727272727272727","0.2727272727272727"
"4244","0.15384615384615385","0.15384615384615385","0.15384615384615385"
"4269","1","1","1"
"4281","0.4166666666666667","0.4166666666666667","0.4166666666666667"
"4297","1","1","1"
"4311","1","1","1"
"4327","0.3125","0.3125","0.3125"
"4338","1","1","1"
"4355","0.35294117647058826","0.35294117647058826","0.35294117647058826"
"4374","0.8947368421052632","0.8947368421052632","0.8947368421052632"
"4386","0.4166666666666667","0.4166666666666667","0.4166666666666667"
"4397","0.2727272727272727","0.2727272727272727","0.2727272727272727"
"4409","0.4166666666666667","0.4166666666666667","0.4166666666666667"
"4422","0.38461538461538464","0.38461538461538464","0.38461538461538464"
"4445","0.043478260869565216","0.043478260869565216","0.043478260869565216"
"4456","0.09090909090909091","0.09090909090909091","0.09090909090909091"
"4472","0.3125","0.3125","0.3125"
"4492","1","1","1"
"4504","1","1","1"
"4534","1","1","1"
"4548","0.9285714285714286","0.9285714285714286","0.9285714285714286"
"4559","1","1","1"
"4570","0.18181818181818182","0.18181818181818182","0.18181818181818182"
"4586","0.5","0.5","0.5"
"4600","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"4611","0.8181818181818182","0.8181818181818182","0.8181818181818182"
"4622","0.09090909090909091","0.09090909090909091","0.09090909090909091"
"4641","1","1","1"
"4648","1","1","1"
"4665","0.5294117647058824","0.5294117647058824","0.5294117647058824"
"4684","1","1","1"
"4695","0.8181818181818182","0.8181818181818182","0.8181818181818182"
"4713","0.8333333333333334","0.8333333333333334","0.8333333333333334"
"4732","0.2631578947368421","0.2631578947368421","0.2631578947368421"
"4741","0.8888888888888888","0.8888888888888888","0.8888888888888888"
"4760","0.3157894736842105","0.3157894736842105","0.3157894736842105"
"4767","0.8571428571428571","0.8571428571428571","0.8571428571428571"
"4783","1","1","1"
"4803","1","1","1"
"4814","1","1","1"
"4828","0.7857142857142857","0.7857142857142857","0.7857142857142857"
"4839","1","1","1"
"4850","0.36363636363636365","0.36363636363636365","0.36363636363636365"
"4876","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"4896","0.25","0.25","0.25"
"4907","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"4919","0.5833333333333334","0.5833333333333334","0.5833333333333334"
"4938","1","1","1"
"4961","1","1","1"
"4968","1","1","1"
"4979","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"4995","1","1","1"
"5004","1","1","1"
"5020","0.5","0.5","0.5"
"5035","1","1","1"
"5046","0","0","0"
"5061","1","1","1"
"5073","0.4166666666666667","0.4166666666666667","0.4166666666666667"
"5088","0.06666666666666667","0.06666666666666667","0.06666666666666667"
"5096","1","1","1"
"5115","0.15789473684210525","0.15789473684210525","0.15789473684210525"
"5131","0.1875","0.1875","0.1875"
"5146","0.5333333333333333","0.5333333333333333","0.5333333333333333"
"5160","0.8571428571428571","0.8571428571428571","0.8571428571428571"
"5180","0.4","0.4","0.4"
"5196","0.0625","0.0625","0.0625"
"5212","0.5","0.5","0.5"
"5226","0.5","0.5","0.5"
"5260","1","1","1"
"5274","0.35714285714285715","0.35714285714285715","0.35714285714285715"
"5289","0.6","0.6","0.6"
"5309","1","1","1"
"5327","0.1111111111111111","0.1111111111111111","0.1111111111111111"
"5344","0.9411764705882353","0.9411764705882353","0.9411764705882353"
"5367","0","0","0"
"5386","0.47368421052631576","0.47368421052631576","0.47368421052631576"
"5395","1","1","1"
"5413","0.2222222222222222","0.2222222222222222","0.2222222222222222"
"5428","1","1","1"
"5439","0.45454545454545453","0.45454545454545453","0.45454545454545453"
"5453","1","1","1"
"5467","1","1","1"
"5486","0.15789473684210525","0.15789473684210525","0.15789473684210525"
"5502","1","1","1"
"5515","0.46153846153846156","0.46153846153846156","0.46153846153846156"
"5529","0.8571428571428571","0.8571428571428571","0.8571428571428571"
"5542","1","1","1"
"5549","0.14285714285714285","0.14285714285714285","0.14285714285714285"
"5563","0.35714285714285715","0.35714285714285715","0.35714285714285715"
"5578","0.2","0.2","0.2"
"5589","1","1","1"
"5607","1","1","1"
"5644","0.08333333333333333","0.08333333333333333","0.08333333333333333"
"5661","1","1","1"
"5672","0.8181818181818182","0.8181818181818182","0.8181818181818182"
"5683","0.9090909090909091","0.9090909090909091","0.9090909090909091"